Company,Country of Origin,Model,Number of cc,Horsepower,Torque,Transmission Type,Drivetrain,Number of Seating,Year,Looks,Body Type,Engine Type,Number of Cylinders,Price (SEK)
Hero,India,Passion Pro,110.0,9.1,9.7,Manual,Chain,1,2023,"Sport",Standard,"Single-cylinder",1,7040.0
Hero,India,XPulse 200,199.6,18.4,17.1,Manual,Chain,1,2023,Adventure,Enduro,"Single-cylinder",1,12649.999999999998
Hero,India,XPulse 200T,199.6,18.4,17.1,Manual,Chain,1,2023,Adventure,Naked/Street,"Single-cylinder",1,13420.0
Hero,India,Glamour 125,124.7,10.7,10.6,Manual,Chain,1,2023,"Modern",Standard,"Single-cylinder",1,7920.0
Hero,India,HF Deluxe,100.0,8.3,8.05,Manual,Chain,1,2023,"Practical",Standard,"Single-cylinder",1,5610.0
Jawa,India,Jawa,293.0,27.33,27.02,Manual,Chain,2,2018,Classic,Cruiser,"Other",1,18370.0
Jawa,India,Forty Two,293.0,27.33,27.02,Manual,Chain,2,2018,Classic,Naked/Street,"Other",1,18370.0
Jawa,India,Perak,334.0,30.64,32.74,Manual,Chain,2,2020,Modern,Cruiser,"Other",1,23650.0
TVS,India,Apache RTR 200 4V,199.5,19.7,16.8,Manual,Chain,2,2018,Sport,Naked/Street,"Single-cylinder",1,14080.0
TVS,India,Apache RTR 200 4V FI,199.5,20.2,18.1,Manual,Chain,2,2020,Sport,Naked/Street,"Single-cylinder",1,14740.0
TVS,India,Apache RTR 160 2V,159.7,15.3,13.7,Manual,Chain,2,2020,Sport,Naked/Street,"Single-cylinder",1,10945.0
TVS,India,Ntorq 125,124.8,9.4,10.5,Automatic,Automatic,2,2019,Urban,Scooter,"Single-cylinder",1,7689.0
TVS,India,Jupiter,110.0,8.3,9.4,Automatic,Automatic,2,2022,Practical,Scooter,"Single-cylinder",1,6850.25
TVS,India,Sport 125,124.8,9.7,10.5,Manual,Chain,2,2022,Classic,Standard,"Single-cylinder",1,8662.5
TVS,India,Radeon,124.8,8.7,10.0,Manual,Chain,2,2022,Practical,Standard,"Single-cylinder",1,8002.5
Triton Electric Bikes,China,Artemis,750.0,500.0,80.0,Electric,Chain,1,2023,Modern,Enduro,Electric,1,27500.0
Apollo,China,Artemis,250.0,250.0,80.0,Electric,Chain,1,2022,Modern,Standard,Electric,1,16500.0
Hero Electric,India,Artemis,250.0,250.0,80.0,Electric,Chain,1,2021,Classic,Scooter,Electric,1,11000.0
Ampere,India,Artemis,250.0,250.0,80.0,Electric,Chain,1,2020,Classic,Scooter,Electric,1,8800.0
Peugeot,France,Django 125,125.0,10.2,10.8,Manual,Chain,2,2023,Classic,Cruiser,Single-cylinder,1,12650.0
Peugeot,France,Django 300,300.0,27.0,29.0,Manual,Chain,2,2023,Modern,Cruiser,Single-cylinder,1,15950.0
Peugeot,France,Metropolis 400,399.0,36.0,38.0,Automatic,Automatic,3,2023,Modern,Scooter,Single-cylinder,1,26400.0
Ontrack,India,Brutus Single-cylinder Speed MTB 29,29.0,25.0,25.0,Electric,Electric,1,2023,Off-road,Enduro,Boxer,1,1567.5
Derbi,Spain,STX 150,150.0,12.5,12.0,Manual,Chain,1,2023,Sport,Naked/Street,Other,1,11000.0
Vmoto Soco,China,TC,125.0,6.705100000000001,110.0,Automatic,Electric,2,2023,Retro,Naked/Street,Electric,1,15400.0
Vmoto Soco,China,TC Max,125.0,6.705100000000001,110.0,Automatic,Electric,2,2023,Modern,Cafe Racer,Electric,1,17600.0
Vmoto Soco,China,TS Naked/Street Hunter,125.0,6.705100000000001,110.0,Automatic,Electric,2,2023,Modern,Naked/Street,Electric,1,16500.0
Vmoto Soco,China,TC Wanderer,125.0,6.705100000000001,110.0,Automatic,Electric,2,2023,Retro,Scrambler,Electric,1,14300.0
Italjet,Italy,Dragster 200,200.0,20.07,17.0,Automatic,Other,2,2020,Modern,Naked/Street,Parallel-twin,1,91189.99999999999
Sherco,France,SE 125 Factory 2T,125.0,15.0,12.0,Manual,Chain,1,2023,Modern,Enduro,Other,1,109998.9
Sherco,France,SE 250 Factory 2T,250.0,30.0,22.0,Manual,Chain,1,2023,Modern,Enduro,Other,1,128698.9
Sherco,France,SE 300 Factory 2T,300.0,36.0,26.0,Manual,Chain,1,2023,Modern,Enduro,Other,1,153998.9
Sherco,France,SEF 250i-S,250.0,31.0,24.0,Automatic,Chain,1,2023,Modern,Enduro,Other,1,126498.9
Sherco,France,SEF 300i-S,300.0,35.0,27.0,Automatic,Chain,1,2023,Modern,Enduro,Other,1,151798.9
Victory,USA,Cross Country,106.0,94.0,149.1402,Manual,Belt,2,2017,Modern,Cruiser,V-twin,2,165000.0
Victory,USA,Judge,106.0,94.0,149.1402,Manual,Belt,2,2017,Modern,Cruiser,V-twin,2,159500.0
Victory,USA,Hammer,1179.0,104.0,135.582,Manual,Belt,2,2017,Modern,Cruiser,V-twin,2,187000.0
Victory,USA,Octane,1179.0,104.0,103.04232,Manual,Belt,2,2017,Modern,Cruiser,V-twin,2,137500.0
Victory,USA,Vision,1731.0,116.0,162.6984,Manual,Belt,2,2017,Modern,Adventure,V-twin,3,242000.0
Hanway,China,Furious 125,125.0,11.0,10.0,Manual,Chain,2,2023,Modern,Naked/Street,Single-cylinder,1,11000.0
Hanway,China,Black Cafe 125,125.0,11.0,10.0,Manual,Chain,2,2023,Retro,Cafe Racer,Single-cylinder,1,11550.0
Hanway,China,Muscle 125,125.0,11.0,10.0,Manual,Chain,2,2023,Modern,Cruiser,Single-cylinder,1,12100.0
Hanway,China,Scrambler 125,125.0,11.0,10.0,Manual,Chain,2,2023,Retro,Scrambler,Single-cylinder,1,12650.0
Hanway,China,Raw 125,125.0,11.0,10.0,Manual,Chain,2,2023,Modern,Naked/Street,Single-cylinder,1,13200.0
Keeway,Italy,V302C,298.0,29.9,26.5,Manual,Chain,1,2023,Cruiser,Standard,"Single-cylinder",1,42790.0
Keeway,Italy,Vieste 300,278.2,18.4,16.0,Automatic,Automatic,1,2023,Modern,Sport,"Single-cylinder",1,35749.12
Keeway,Italy,K-Light 250V,249.0,18.4,17.0,Manual,Chain,1,2023,Modern,Naked/Street,"Single-cylinder",1,35198.13
Keeway,Italy,K300 R,292.4,27.1,22.0,Manual,Chain,1,2023,Modern,Sport,"Single-cylinder",1,29155.83
Keeway,Italy,Sixties 300i,278.2,18.4,16.0,Automatic,Automatic,1,2023,Retro,Cafe Racer,"Single-cylinder",1,36298.24
Keeway,Italy,SR125,125.0,9.56,10.5,Automatic,Automatic,1,2023,Modern,Standard,"Single-cylinder",1,13199.89
Jawa,India,Jawa 42,293.0,27.33,27.02,Manual,Chain,2,2020,Retro,Cruiser,"Other",1,18370.0
Jawa,India,Jawa 42 Cruiser,293.0,27.33,27.02,Manual,Chain,2,2020,Retro,Cruiser,"Other",1,20240.0
Jawa,India,Jawa Perak,334.0,30.64,32.74,Manual,Chain,2,2021,Modern,Cruiser,"Other",1,23650.0
Lexmoto,UK,LXR 125,125.0,13.6,11.0,Manual,Chain,2,2022,Modern,Sport,"Other",1,18150.0
Lexmoto,UK,ZSX 125,125.0,14.0,11.5,Manual,Chain,2,2022,Modern,Naked/Street,"Other",1,19250.0
Lexmoto,UK,Milano 125,125.0,9.5,9.0,Automatic,Belt,2,2022,Retro,Scooter,"Single-cylinder",1,14850.0
Lexmoto,UK,Vendetta 250,250.0,21.0,18.6,Manual,Chain,2,2022,Modern,Cruiser,"Other",1,24750.0
Mash,China,Black Seven 125,125.0,14.751220000000002,11.0,Manual,Chain,2,2023,Retro,Naked/Street,Single-cylinder,1,12100.000000000002
Mash,China,Two Fifty,250.0,20.0,18.0,Manual,Chain,2,2023,Retro,Scrambler,Single-cylinder,1,16500.0
Mash,China,Dirt Track 125,125.0,14.751220000000002,11.0,Manual,Chain,2,2023,Retro,Enduro,Single-cylinder,1,11000.0
Mash,China,Five Hundred,500.0,35.0,38.0,Manual,Chain,2,2023,Retro,Cafe Racer,Single-cylinder,1,27500.0
Segway,China,Dirt eBike X260,500.0,6.705100000000001,249.87762600000002,Automatic,Electric,1,2023,Modern,Enduro,Electric,1,38500.0
Arcfox,China,Alpha S,1903.0,90.78705400000001,260.72418600000003,Automatic,"Electric",2,2023,Modern,Sport,Electric,2,15400.0
Hyosung,South Korea,Aquila GV650,647.0,68.0,73.21428,Manual,"Other",2,2023,"Modern",Cruiser,V-twin,2,71500.0
Fantic,Italy,Caballero 125,125.0,15.0,11.0,Manual,Chain,1,2023,"Modern",Enduro,Single-cylinder,1,16500.0
FB Mondial,Italy,HPS 300,249.0,23.11,22.5,Manual,Chain,1,2018,"Classic",Scrambler,"Single-cylinder",1,37070.0
FB Mondial,Italy,300 Sport,300.0,30.4,24.0,Manual,Chain,1,2020,"Sport",Cafe Racer,"Single-cylinder",1,46200.0
FB Mondial,Italy,125 Sport,125.0,14.8,11.5,Manual,Chain,1,2020,"Sport",Cafe Racer,"Single-cylinder",1,24200.000000000004
Zero Motorcycles,USA,Zero S,7.2,74.0,106.0,Automatic,Electric,1,2023,Urban,Naked/Street,Electric,1,142945.0
Zero Motorcycles,USA,Zero SR,11.4,92.0,130.0,Automatic,Electric,1,2023,Urban,Naked/Street,Electric,1,175945.0
Zero Motorcycles,USA,Zero SR/F,14.4,110.0,190.0,Automatic,Electric,1,2023,Sport,Naked/Street,Electric,1,219945.0
Zero Motorcycles,USA,Zero DS,11.4,92.0,130.0,Automatic,Electric,1,2023,Adventure,Enduro,Electric,1,186945.0
Zero Motorcycles,USA,Zero FX,7.2,74.0,106.0,Automatic,Electric,1,2023,Off-road,Enduro,Electric,1,153945.0
Larry vs Harry,Denmark,Bullitt,125.0,11.5,11.0,Manual,Chain,1,2023,Classic,Scooter,Single-cylinder,1,15950.0
Aeon,Japan,Revo 300,292.0,27.6,30.912696,Manual,Chain,2,2022,Modern,Sport,Single-cylinder,1,11550.0
Aeon,Japan,Revo 125,124.9,13.2,12.744708000000001,Manual,Chain,2,2022,Modern,Naked/Street,Single-cylinder,1,6050.0
Aeon,India,Neo 110,110.0,9.0,11.52447,Manual,Chain,2,2022,Retro,Standard,Single-cylinder,1,4400.0
Aeon,India,Mio 110,110.0,8.5,11.52447,Automatic,Automatic,2,2022,Modern,Scooter,Single-cylinder,1,3850.0
Can-Am,Canada,Spyder RT,1330.0,115.0,155.9193,Manual,Other,2,2023,Modern,Cruiser,Other,3,203500.0
Can-Am,Canada,Ryker,600.0,50.0,62.36772,Automatic,Other,2,2023,Sport,Naked/Street,Other,3,148500.0
Can-Am,Canada,F3,990.0,97.0,93.55158,Manual,Other,2,2023,Modern,Cruiser,Other,3,165000.0
Scomadi,Italy,TL125,124.6,9.39,8.3,Automatic,Belt,2,2023,Retro,Scooter,Single-cylinder,1,9680.0
Scomadi,Italy,Sixty2,279.5,19.5,22.0,Automatic,Belt,2,2023,Retro,Cafe Racer,Single-cylinder,1,21890.0
Scomadi,Italy,TT125,124.6,9.39,8.3,Automatic,Belt,2,2023,Retro,Scrambler,Single-cylinder,1,9680.0
Genuine Scooters,Taiwan,Buddy 50,49.0,3.3,3.5,Automatic,Automatic,1,2023,Retro,Standard,Other,1,4950.0
Genuine Scooters,Taiwan,Buddy 125,125.0,9.5,10.2,Automatic,Automatic,2,2023,Modern,Standard,Other,1,6600.0
Genuine Scooters,Taiwan,Buddy 170i,170.0,11.6,12.8,Automatic,Automatic,2,2023,Modern,Standard,Other,1,8800.0
Genuine Scooters,Taiwan,Buddy KICK,125.0,10.5,11.5,Automatic,Automatic,2,2023,Modern,Standard,Other,1,7700.0
Genuine Scooters,Taiwan,Hooligan 170i,170.0,14.5,15.5,Automatic,Automatic,2,2023,Retro,Standard,Other,1,9900.0
Genuine Scooters,Taiwan,Roughhouse 50,50.0,3.5,3.8,Automatic,Automatic,1,2023,Retro,Standard,Other,1,3850.0
Genuine Scooters,Taiwan,Roughhouse 50 SPORT,50.0,4.5,4.8,Automatic,Automatic,1,2023,Modern,Standard,Other,1,4400.0
Genuine Scooters,Taiwan,Rattler 50,50.0,3.3,3.5,Automatic,Automatic,1,2023,Retro,Standard,Other,1,3300.0
Genuine Scooters,Taiwan,Venture 50,50.0,4.5,4.8,Automatic,Automatic,1,2023,Modern,Standard,Other,1,4950.0
UM Motorcycles,China,Renegade Commando,279.5,25.5,23.0,Manual,Chain,2,2023,Retro,Cruiser,"Other",1,18040.0
UM Motorcycles,China,Renegade Sport S,280.0,26.5,22.5,Manual,Chain,2,2023,Modern,Sport,"Other",1,17270.0
UM Motorcycles,China,Renegade Duty S,223.0,17.5,16.5,Manual,Chain,2,2023,Modern,Cruiser,"Single-cylinder",1,12100.0
UM Motorcycles,China,Renegade Duty Ace,125.0,10.0,9.5,Manual,Chain,2,2023,Modern,Cruiser,"Single-cylinder",1,9900.0
UM Motorcycles,China,Renegade Thor,374.0,35.0,,Manual,Chain,2,2023,Modern,Cruiser,"V-twin",2,53900.0
NIU,China,MQi GT,125.0,11.1,10.5,Automatic,Automatic,2,2022,Modern,Scooter,Electric,1,16499.89
NIU,China,NQi GTS,125.0,9.4,11.8,Automatic,Automatic,2,2022,Modern,Scooter,Electric,1,17599.89
NIU,China,MQi Plus,125.0,9.4,11.8,Automatic,Automatic,2,2022,Urban,Scooter,Electric,1,14299.89
NIU,China,NQi Sport,125.0,9.4,11.8,Automatic,Automatic,2,2022,Sport,Scooter,Electric,1,15949.89
NIU,China,BQi-C3 Pro,,500.0,40.0,Pedal-assist and throttle,Rear wheel,1,2023,Modern,Bicycle,Electric,1,14299.89
Sinnis,UK,Apache 125,125.0,11.5,10.5,Automatic,Automatic,2,2023,Modern,Naked/Street,Other,1,13199.89
Sinnis,UK,Meteor 125,125.0,11.5,10.5,Automatic,Automatic,2,2023,Classic,Cruiser,Other,1,14299.89
Sinnis,UK,City 125,125.0,9.5,9.0,Automatic,Automatic,2,2023,Urban,Scooter,Other,1,10999.89
Sinnis,UK,Terrain 125,125.0,11.5,10.5,Automatic,Automatic,2,2023,Adventure,Enduro,Other,1,15399.89
Sinnis,UK,SM-XE 125,125.0,15.0,12.0,Manual,Chain,2,2023,Off-road,Naked/Street,Other,1,16499.89
SWM,Italy,Superdual T,600.0,54.38,53.5,Manual,Chain,2,2023,Modern,Adventure,Parallel-twin,1,74800.0
SWM,Italy,RS 650,650.0,55.0,55.0,Manual,Chain,2,2023,Modern,Naked/Street,Parallel-twin,1,93500.0
SWM,Italy,Viale 650,650.0,55.0,55.0,Manual,Chain,2,2023,Classic,Cruiser,Parallel-twin,1,85800.0
SWM,Italy,RACER 125,125.0,11.5,10.5,Automatic,Automatic,2,2023,Modern,Naked/Street,Other,1,13200.0
SWM,Italy,GRAN TURISMO 125,125.0,11.5,10.5,Automatic,Automatic,2,2023,Classic,Cruiser,Other,1,14300.0
Super Soco,China,TC,125.0,15.421730000000002,11.52447,Automatic,Automatic,2,2023,Modern,Scooter,Electric,1,15400.0
Super Soco,China,TC Max,125.0,6.705100000000001,11.52447,Automatic,Automatic,2,2023,Modern,Naked/Street,Electric,1,16500.0
Super Soco,China,TS Naked/Street Hunter,125.0,4.02306,14.91402,Automatic,Automatic,2,2023,Modern,Naked/Street,Electric,1,19800.0
Super Soco,China,CUx,125.0,4.69357,13.964946000000001,Automatic,Automatic,2,2023,Retro,Scooter,Electric,1,14300.0
Super Soco,China,CPx,125.0,4.69357,13.964946000000001,Automatic,Automatic,2,2023,Modern,Scooter,Electric,1,15400.0
Royal Alloy,UK,Interceptor 650,649.0,47.6,52.0,Manual,Chain,2,2023,Classic,Cruiser,Other,,49500.0
Royal Alloy,UK,Himalayan,411.0,24.5,32.0,Manual,Chain,2,2023,Adventure,Enduro,Other,1,29700.0
Royal Alloy,UK,Meteor 350,349.0,20.2,27.0,Manual,Chain,2,2023,Classic,Cruiser,Other,1,23100.0
Royal Alloy,UK,CT 125,125.0,10.5,10.5,Automatic,Automatic,2,2023,Retro,Scooter,Other,1,12100.000000000002
Royal Alloy,UK,Kent 125,125.0,10.5,10.5,Automatic,Automatic,2,2023,Modern,Scooter,Other,1,11000.0
Benelli,Italy,Imperiale 400,374.0,21.0,24.5,Manual,Chain,2,2020,Classic,Cruiser,"Single-cylinder",1,25840.54
Benelli,Italy,Leoncino 250,249.2,24.5,21.5,Manual,Chain,2,2020,Modern,Naked/Street,"Other",1,28589.0
Benelli,Italy,TRK 251,250.9,25.0,21.0,Manual,Chain,2,2020,Adventure,Adventure,"Other",1,32890.0
Benelli,Italy,TRK 502,500.0,47.6,46.0,Manual,Chain,2,2017,Adventure,Adventure,"Parallel-twin",2,51590.0
Benelli,Italy,TNT 600i,600.0,85.0,54.0,Manual,Chain,2,2018,Sport,Sport,"Parallel-twin",2,68090.0
Benelli,Italy,Leoncino 500,500.0,47.5,46.0,Manual,Chain,2,2019,Modern,Naked/Street,"Parallel-twin",2,61600.0
Benelli,Italy,502 C,500.0,47.5,46.0,Manual,Chain,2,2020,Retro,Cruiser,"Parallel-twin",2,64350.0
Benelli,Italy,TNT 600RR,600.0,118.0,66.0,Manual,Chain,2,2022,Sport,Sport,"Parallel-twin",2,82500.0
AJS,UK,Cadwell 125,125.0,11.0,10.5,Manual,Chain,2,2023,Classic,Naked/Street,Single-cylinder,1,164890.0
AJS,UK,Tempest Scrambler 125,125.0,11.0,10.5,Manual,Chain,2,2023,Modern,Scrambler,Single-cylinder,1,170390.0
AJS,UK,Tempest Naked/Street 125,125.0,11.0,10.5,Manual,Chain,2,2023,Modern,Naked/Street,Single-cylinder,1,164890.0
Mutt Motorcycles,UK,Akita 125,125.0,11.83,10.0,Manual,Chain,1,2022,Retro,Cafe Racer,"Single-cylinder",1,39490.0
Zontes,China,350R,348.0,38.2,32.8,Manual,Chain,2,2022,Sport,Naked/Street,"Other",1,35750.0
Zontes,China,350T,348.0,38.2,32.8,Manual,Chain,2,2022,Modern,Adventure,"Other",1,38170.0
Zontes,China,350X,348.0,38.2,32.8,Manual,Chain,2,2022,Off-road,Scrambler,"Other",1,39270.0
Zontes,China,GK350,348.0,38.2,32.8,Manual,Chain,2,2022,Classic,Cafe Racer,"Other",1,40370.0
Mutt Motorcycles,UK,Akita,125.0,11.83,10.0,Manual,Chain,1,2022,Retro,Cafe Racer,"Single-cylinder",1,39490.0
Mutt Motorcycles,UK,FSR,250.0,18.5,17.0,Manual,Chain,1,2022,Retro,Scrambler,"Single-cylinder",1,54890.0
Mutt Motorcycles,UK,GT-SR,250.0,18.5,17.0,Manual,Chain,1,2022,Retro,Cafe Racer,"Single-cylinder",1,60390.0
Mutt Motorcycles,UK,GT-SS,250.0,20.0,18.0,Manual,Chain,1,2022,Retro,Cruiser,"Single-cylinder",1,65890.0
Mutt Motorcycles,UK,Hilts,250.0,18.5,17.0,Manual,Chain,1,2022,Retro,Standard,"Single-cylinder",1,58190.0
Mutt Motorcycles,UK,Mastiff,250.0,20.0,18.0,Manual,Chain,1,2022,Retro,Cruiser,"Single-cylinder",1,71390.0
Mutt Motorcycles,UK,Mongrel,250.0,20.0,18.0,Manual,Chain,1,2022,Retro,Scrambler,"Single-cylinder",1,65890.0
Mutt Motorcycles,UK,Razorback,250.0,20.0,18.0,Manual,Chain,1,2022,Retro,Cruiser,"Single-cylinder",1,76890.0
Mutt Motorcycles,UK,RS-13,250.0,20.0,18.0,Manual,Chain,1,2022,Retro,Cafe Racer,"Single-cylinder",1,74690.0
Mutt Motorcycles,UK,Sabbath,250.0,20.0,18.0,Manual,Chain,1,2022,Retro,Cruiser,"Single-cylinder",1,82390.0
Energica Motor Company,Italy,Ego,110.0,163.0,264.3849,Automatic,Electric,1,2014,Modern,Naked/Street,Electric,1,232650.0
Energica Motor Company,Italy,Eva Ribelle,110.0,163.0,264.3849,Automatic,Electric,2,2019,Modern,Naked/Street,Electric,1,247500.0
Energica Motor Company,Italy,EsseEsse9,110.0,163.0,264.3849,Automatic,Electric,2,2019,Retro,Cruiser,Electric,1,275000.0
Energica Motor Company,Italy,EGO+,126.0,171.0,300.99204000000003,Automatic,Electric,1,2022,Modern,Naked/Street,Electric,1,261250.0
Energica Motor Company,Italy,Eva Ribelle RS,126.0,171.0,300.99204000000003,Automatic,Electric,2,2022,Modern,Naked/Street,Electric,1,277750.0
Moto Morini,Italy,X-Cape,649.0,60.8,62.0,Manual,Other,2,2023,Modern,Adventure,"Parallel-twin",2,79200.0
Moto Morini,Italy,Seiemmezzo 6 ½,649.0,55.7,58.0,Manual,Other,2,2023,Retro,Naked/Street,"Parallel-twin",2,75790.0
