Company,Country of Origin,Model,Number of cc,Horsepower,Torque,Transmission Type,Drivetrain,Number of Seating,Year,Looks,Body Type,Engine Type,Number of Cylinders,Price (SEK),Usage Type
Moto Morini,Italy,Seiemmezzo 6 ½,649.0,55.7,54.0,Manual,Chain,2,2023,Classic,Naked/Street,Parallel-twin,2.0,76944.99999999999,Street
Moto Morini,Italy,X-Cape,649.0,60.8,54.0,Manual,Shaft Drive,2,2023,Adventure,Adventure,Parallel-twin,2.0,80850.0,Touring
Suzuki,Japan,Hayabusa,1340.0,190.0,150.0,Manual,Chain,2,2023,Classic,Sport,Inline-four,4.0,185900.0,Race
Triumph,UK,Rocket 3,2458.0,167.0,221.0,Manual,Shaft Drive,2,2023,Classic,Cruiser,Inline-three,3.0,235400.0,Cruise
Yamaha,Japan,MT-10,998.0,158.0,111.0,Manual,Chain,1,2023,Classic,Naked/Street,Parallel-twin,4.0,154000.0,Street
Bajaj,India,Pulsar 125,124.9,12.7,11.0,Manual,Chain,1,2023,Sport,Naked/Street,Single-cylinder,1.0,7480.0,Street
Bajaj,India,Pulsar 150,149.5,14.5,13.0,Manual,Chain,1,2023,Sport,Naked/Street,Single-cylinder,1.0,9350.0,Street
Bajaj,India,Pulsar NS200,199.5,24.5,18.6,Manual,Chain,1,2023,Sport,Naked/Street,single-cylinder,1.0,13750.0,Street
Bajaj,India,Dominar 400,373.3,39.4,35.0,Manual,Chain,1,2023,Sport,Naked/Street,single-cylinder,1.0,21890.0,Street
Bajaj,India,Avenger 220,220.9,19.05,17.35,Manual,Chain,2,2023,Classic,Cruiser,Single-cylinder,1.0,12429.999999999998,Cruise
Bajaj,India,Platina 110,110.0,8.6,9.8,Manual,Chain,1,2023,Practical,Standard,Single-cylinder,1.0,6820.0,Street
Hero,India,Splendor Plus,100.0,9.0,8.9,Manual,Chain,1,2023,Practical,Standard,Single-cylinder,1.0,6380.0,Street
Hero,India,Passion Pro,110.0,9.1,9.7,Manual,Chain,1,2023,Sport,Standard,Single-cylinder,1.0,7040.0,Street
Hero,India,XPulse 200,199.6,18.4,17.1,Manual,Chain,1,2023,Adventure,Enduro,Single-cylinder,1.0,12649.999999999998,Off-road
Hero,India,XPulse 200T,199.6,18.4,17.1,Manual,Chain,1,2023,Adventure,Naked/Street,Single-cylinder,1.0,13420.0,Street
Hero,India,Glamour 125,124.7,10.7,10.6,Manual,Chain,1,2023,Modern,Standard,Single-cylinder,1.0,7920.0,Street
Hero,India,HF Deluxe,100.0,8.3,8.05,Manual,Chain,1,2023,Practical,Standard,Single-cylinder,1.0,5610.0,Street
Jawa,India,Jawa,293.0,27.33,27.02,Manual,Chain,2,2018,Classic,Cruiser,Other,1.0,18370.0,Cruise
Jawa,India,Forty Two,293.0,27.33,27.02,Manual,Chain,2,2018,Classic,Naked/Street,Other,1.0,18370.0,Street
Jawa,India,Perak,334.0,30.64,32.74,Manual,Chain,2,2020,Modern,Cruiser,Other,1.0,23650.0,Cruise
TVS,India,Apache RTR 200 4V,199.5,19.7,16.8,Manual,Chain,2,2018,Sport,Naked/Street,Single-cylinder,1.0,14080.0,Street
TVS,India,Apache RTR 200 4V FI,199.5,20.2,18.1,Manual,Chain,2,2020,Sport,Naked/Street,Single-cylinder,1.0,14740.0,Street
TVS,India,Apache RTR 160 2V,159.7,15.3,13.7,Manual,Chain,2,2020,Sport,Naked/Street,Single-cylinder,1.0,10945.0,Street
TVS,India,Ntorq 125,124.8,9.4,10.5,Automatic,Automatic,2,2019,Urban,Scooter,Single-cylinder,1.0,7689.0,Street
TVS,India,Jupiter,110.0,8.3,9.4,Automatic,Automatic,2,2022,Practical,Scooter,Single-cylinder,1.0,6850.25,Street
TVS,India,Sport 125,124.8,9.7,10.5,Manual,Chain,2,2022,Classic,Standard,Single-cylinder,1.0,8662.5,Street
TVS,India,Radeon,124.8,8.7,10.0,Manual,Chain,2,2022,Practical,Standard,Single-cylinder,1.0,8002.5,Street
Triton Electric Bikes,China,Artemis,750.0,500.0,80.0,Electric,Chain,1,2023,Modern,Enduro,Electric,1.0,27500.0,Off-road
Apollo,China,Artemis,250.0,250.0,80.0,Electric,Chain,1,2022,Modern,Standard,Electric,1.0,16500.0,Street
Hero Electric,India,Artemis,250.0,250.0,80.0,Electric,Chain,1,2021,Classic,Scooter,Electric,1.0,11000.0,Street
Ampere,India,Artemis,250.0,250.0,80.0,Electric,Chain,1,2020,Classic,Scooter,Electric,1.0,8800.0,Street
Peugeot,France,Django 125,125.0,10.2,10.8,Manual,Chain,2,2023,Classic,Cruiser,Single-cylinder,1.0,12650.0,Cruise
Peugeot,France,Django 300,300.0,27.0,29.0,Manual,Chain,2,2023,Modern,Cruiser,Single-cylinder,1.0,15950.0,Cruise
Peugeot,France,Metropolis 400,399.0,36.0,38.0,Automatic,Automatic,3,2023,Modern,Scooter,Single-cylinder,1.0,26400.0,Street
Ontrack,India,Brutus Single-cylinder Speed MTB 29,29.0,25.0,25.0,Electric,Electric,1,2023,Off-road,Enduro,Boxer,1.0,1567.5,Off-road
Derbi,Spain,STX 150,150.0,12.5,12.0,Manual,Chain,1,2023,Sport,Naked/Street,Other,1.0,11000.0,Street
Vmoto Soco,China,TC,125.0,6.705100000000001,110.0,Automatic,Electric,2,2023,Retro,Naked/Street,Electric,1.0,15400.0,Street
Vmoto Soco,China,TC Max,125.0,6.705100000000001,110.0,Automatic,Electric,2,2023,Modern,Cafe Racer,Electric,1.0,17600.0,Street
Vmoto Soco,China,TS Naked/Street Hunter,125.0,6.705100000000001,110.0,Automatic,Electric,2,2023,Modern,Naked/Street,Electric,1.0,16500.0,Street
Vmoto Soco,China,TC Wanderer,125.0,6.705100000000001,110.0,Automatic,Electric,2,2023,Retro,Scrambler,Electric,1.0,14300.0,Street
Italjet,Italy,Dragster 200,200.0,20.07,17.0,Automatic,Other,2,2020,Modern,Naked/Street,Parallel-twin,1.0,91190.0,Street
Sherco,France,SE 125 Factory 2T,125.0,15.0,12.0,Manual,Chain,1,2023,Modern,Enduro,Other,1.0,109998.9,Off-road
Sherco,France,SE 250 Factory 2T,250.0,30.0,22.0,Manual,Chain,1,2023,Modern,Enduro,Other,1.0,128698.9,Off-road
Sherco,France,SE 300 Factory 2T,300.0,36.0,26.0,Manual,Chain,1,2023,Modern,Enduro,Other,1.0,153998.9,Off-road
Sherco,France,SEF 250i-S,250.0,31.0,24.0,Automatic,Chain,1,2023,Modern,Enduro,Other,1.0,126498.9,Off-road
Sherco,France,SEF 300i-S,300.0,35.0,27.0,Automatic,Chain,1,2023,Modern,Enduro,Other,1.0,151798.9,Off-road
Victory,USA,Cross Country,106.0,94.0,149.1402,Manual,Belt,2,2017,Modern,Cruiser,V-twin,2.0,165000.0,Cruise
Victory,USA,Judge,106.0,94.0,149.1402,Manual,Belt,2,2017,Modern,Cruiser,V-twin,2.0,159500.0,Cruise
Victory,USA,Hammer,1179.0,104.0,135.582,Manual,Belt,2,2017,Modern,Cruiser,V-twin,2.0,187000.0,Cruise
Victory,USA,Octane,1179.0,104.0,103.04232,Manual,Belt,2,2017,Modern,Cruiser,V-twin,2.0,137500.0,Cruise
Victory,USA,Vision,1731.0,116.0,162.6984,Manual,Belt,2,2017,Modern,Adventure,V-twin,3.0,242000.0,Touring
Hanway,China,Furious 125,125.0,11.0,10.0,Manual,Chain,2,2023,Modern,Naked/Street,Single-cylinder,1.0,11000.0,Street
Hanway,China,Black Cafe 125,125.0,11.0,10.0,Manual,Chain,2,2023,Retro,Cafe Racer,Single-cylinder,1.0,11550.0,Street
Hanway,China,Muscle 125,125.0,11.0,10.0,Manual,Chain,2,2023,Modern,Cruiser,Single-cylinder,1.0,12100.0,Cruise
Hanway,China,Scrambler 125,125.0,11.0,10.0,Manual,Chain,2,2023,Retro,Scrambler,Single-cylinder,1.0,12650.0,Street
Hanway,China,Raw 125,125.0,11.0,10.0,Manual,Chain,2,2023,Modern,Naked/Street,Single-cylinder,1.0,13200.0,Street
Keeway,Italy,V302C,298.0,29.9,26.5,Manual,Chain,1,2023,Cruiser,Standard,Single-cylinder,1.0,42790.0,Street
Keeway,Italy,Vieste 300,278.2,18.4,16.0,Automatic,Automatic,1,2023,Modern,Sport,Single-cylinder,1.0,35749.12,Race
Keeway,Italy,K-Light 250V,249.0,18.4,17.0,Manual,Chain,1,2023,Modern,Naked/Street,Single-cylinder,1.0,35198.13,Street
Keeway,Italy,K300 R,292.4,27.1,22.0,Manual,Chain,1,2023,Modern,Sport,Single-cylinder,1.0,29155.83,Race
Keeway,Italy,Sixties 300i,278.2,18.4,16.0,Automatic,Automatic,1,2023,Retro,Cafe Racer,Single-cylinder,1.0,36298.24,Street
Keeway,Italy,SR125,125.0,9.56,10.5,Automatic,Automatic,1,2023,Modern,Standard,Single-cylinder,1.0,13199.89,Street
Jawa,India,Jawa 42,293.0,27.33,27.02,Manual,Chain,2,2020,Retro,Cruiser,Other,1.0,18370.0,Cruise
Jawa,India,Jawa 42 Cruiser,293.0,27.33,27.02,Manual,Chain,2,2020,Retro,Cruiser,Other,1.0,20240.0,Cruise
Jawa,India,Jawa Perak,334.0,30.64,32.74,Manual,Chain,2,2021,Modern,Cruiser,Other,1.0,23650.0,Cruise
Lexmoto,UK,LXR 125,125.0,13.6,11.0,Manual,Chain,2,2022,Modern,Sport,Other,1.0,18150.0,Race
Lexmoto,UK,ZSX 125,125.0,14.0,11.5,Manual,Chain,2,2022,Modern,Naked/Street,Other,1.0,19250.0,Street
Lexmoto,UK,Milano 125,125.0,9.5,9.0,Automatic,Belt,2,2022,Retro,Scooter,Single-cylinder,1.0,14850.0,Street
Lexmoto,UK,Vendetta 250,250.0,21.0,18.6,Manual,Chain,2,2022,Modern,Cruiser,Other,1.0,24750.0,Cruise
Mash,China,Black Seven 125,125.0,14.751220000000002,11.0,Manual,Chain,2,2023,Retro,Naked/Street,Single-cylinder,1.0,12100.000000000002,Street
Mash,China,Two Fifty,250.0,20.0,18.0,Manual,Chain,2,2023,Retro,Scrambler,Single-cylinder,1.0,16500.0,Street
Mash,China,Dirt Track 125,125.0,14.751220000000002,11.0,Manual,Chain,2,2023,Retro,Enduro,Single-cylinder,1.0,11000.0,Off-road
Mash,China,Five Hundred,500.0,35.0,38.0,Manual,Chain,2,2023,Retro,Cafe Racer,Single-cylinder,1.0,27500.0,Street
Segway,China,Dirt eBike X260,500.0,6.705100000000001,249.877626,Automatic,Electric,1,2023,Modern,Enduro,Electric,1.0,38500.0,Off-road
Arcfox,China,Alpha S,1903.0,90.787054,260.72418600000003,Automatic,Electric,2,2023,Modern,Sport,Electric,2.0,15400.0,Race
Hyosung,South Korea,Aquila GV650,647.0,68.0,73.21428,Manual,Other,2,2023,Modern,Cruiser,V-twin,2.0,71500.0,Cruise
Fantic,Italy,Caballero 125,125.0,15.0,11.0,Manual,Chain,1,2023,Modern,Enduro,Single-cylinder,1.0,16500.0,Off-road
FB Mondial,Italy,HPS 300,249.0,23.11,22.5,Manual,Chain,1,2018,Classic,Scrambler,Single-cylinder,1.0,37070.0,Street
FB Mondial,Italy,300 Sport,300.0,30.4,24.0,Manual,Chain,1,2020,Sport,Cafe Racer,Single-cylinder,1.0,46200.0,Street
FB Mondial,Italy,125 Sport,125.0,14.8,11.5,Manual,Chain,1,2020,Sport,Cafe Racer,Single-cylinder,1.0,24200.000000000004,Street
Zero Motorcycles,USA,Zero S,7.2,74.0,106.0,Automatic,Electric,1,2023,Urban,Naked/Street,Electric,1.0,142945.0,Street
Zero Motorcycles,USA,Zero SR,11.4,92.0,130.0,Automatic,Electric,1,2023,Urban,Naked/Street,Electric,1.0,175945.0,Street
Zero Motorcycles,USA,Zero SR/F,14.4,110.0,190.0,Automatic,Electric,1,2023,Sport,Naked/Street,Electric,1.0,219945.0,Street
Zero Motorcycles,USA,Zero DS,11.4,92.0,130.0,Automatic,Electric,1,2023,Adventure,Enduro,Electric,1.0,186945.0,Off-road
Zero Motorcycles,USA,Zero FX,7.2,74.0,106.0,Automatic,Electric,1,2023,Off-road,Enduro,Electric,1.0,153945.0,Off-road
Larry vs Harry,Denmark,Bullitt,125.0,11.5,11.0,Manual,Chain,1,2023,Classic,Scooter,Single-cylinder,1.0,15950.0,Street
Aeon,Japan,Revo 300,292.0,27.6,30.912696,Manual,Chain,2,2022,Modern,Sport,Single-cylinder,1.0,11550.0,Race
Aeon,Japan,Revo 125,124.9,13.2,12.744708,Manual,Chain,2,2022,Modern,Naked/Street,Single-cylinder,1.0,6050.0,Street
Aeon,India,Neo 110,110.0,9.0,11.52447,Manual,Chain,2,2022,Retro,Standard,Single-cylinder,1.0,4400.0,Street
Aeon,India,Mio 110,110.0,8.5,11.52447,Automatic,Automatic,2,2022,Modern,Scooter,Single-cylinder,1.0,3850.0,Street
Can-Am,Canada,Spyder RT,1330.0,115.0,155.9193,Manual,Other,2,2023,Modern,Cruiser,Other,3.0,203500.0,Cruise
Can-Am,Canada,Ryker,600.0,50.0,62.36772,Automatic,Other,2,2023,Sport,Naked/Street,Other,3.0,148500.0,Street
Can-Am,Canada,F3,990.0,97.0,93.55158,Manual,Other,2,2023,Modern,Cruiser,Other,3.0,165000.0,Cruise
Scomadi,Italy,TL125,124.6,9.39,8.3,Automatic,Belt,2,2023,Retro,Scooter,Single-cylinder,1.0,9680.0,Street
Scomadi,Italy,Sixty2,279.5,19.5,22.0,Automatic,Belt,2,2023,Retro,Cafe Racer,Single-cylinder,1.0,21890.0,Street
Scomadi,Italy,TT125,124.6,9.39,8.3,Automatic,Belt,2,2023,Retro,Scrambler,Single-cylinder,1.0,9680.0,Street
Genuine Scooters,Taiwan,Buddy 50,49.0,3.3,3.5,Automatic,Automatic,1,2023,Retro,Standard,Other,1.0,4950.0,Street
Genuine Scooters,Taiwan,Buddy 125,125.0,9.5,10.2,Automatic,Automatic,2,2023,Modern,Standard,Other,1.0,6600.0,Street
Genuine Scooters,Taiwan,Buddy 170i,170.0,11.6,12.8,Automatic,Automatic,2,2023,Modern,Standard,Other,1.0,8800.0,Street
Genuine Scooters,Taiwan,Buddy KICK,125.0,10.5,11.5,Automatic,Automatic,2,2023,Modern,Standard,Other,1.0,7700.0,Street
Genuine Scooters,Taiwan,Hooligan 170i,170.0,14.5,15.5,Automatic,Automatic,2,2023,Retro,Standard,Other,1.0,9900.0,Street
Genuine Scooters,Taiwan,Roughhouse 50,50.0,3.5,3.8,Automatic,Automatic,1,2023,Retro,Standard,Other,1.0,3850.0,Street
Genuine Scooters,Taiwan,Roughhouse 50 SPORT,50.0,4.5,4.8,Automatic,Automatic,1,2023,Modern,Standard,Other,1.0,4400.0,Street
Genuine Scooters,Taiwan,Rattler 50,50.0,3.3,3.5,Automatic,Automatic,1,2023,Retro,Standard,Other,1.0,3300.0,Street
Genuine Scooters,Taiwan,Venture 50,50.0,4.5,4.8,Automatic,Automatic,1,2023,Modern,Standard,Other,1.0,4950.0,Street
UM Motorcycles,China,Renegade Commando,279.5,25.5,23.0,Manual,Chain,2,2023,Retro,Cruiser,Other,1.0,18040.0,Cruise
UM Motorcycles,China,Renegade Sport S,280.0,26.5,22.5,Manual,Chain,2,2023,Modern,Sport,Other,1.0,17270.0,Race
UM Motorcycles,China,Renegade Duty S,223.0,17.5,16.5,Manual,Chain,2,2023,Modern,Cruiser,Single-cylinder,1.0,12100.0,Cruise
UM Motorcycles,China,Renegade Duty Ace,125.0,10.0,9.5,Manual,Chain,2,2023,Modern,Cruiser,Single-cylinder,1.0,9900.0,Cruise
NIU,China,MQi GT,125.0,11.1,10.5,Automatic,Automatic,2,2022,Modern,Scooter,Electric,1.0,16499.89,Street
NIU,China,NQi GTS,125.0,9.4,11.8,Automatic,Automatic,2,2022,Modern,Scooter,Electric,1.0,17599.89,Street
NIU,China,MQi Plus,125.0,9.4,11.8,Automatic,Automatic,2,2022,Urban,Scooter,Electric,1.0,14299.89,Street
NIU,China,NQi Sport,125.0,9.4,11.8,Automatic,Automatic,2,2022,Sport,Scooter,Electric,1.0,15949.89,Street
Sinnis,UK,Apache 125,125.0,11.5,10.5,Automatic,Automatic,2,2023,Modern,Naked/Street,Other,1.0,13199.89,Street
Sinnis,UK,Meteor 125,125.0,11.5,10.5,Automatic,Automatic,2,2023,Classic,Cruiser,Other,1.0,14299.89,Cruise
Sinnis,UK,City 125,125.0,9.5,9.0,Automatic,Automatic,2,2023,Urban,Scooter,Other,1.0,10999.89,Street
Sinnis,UK,Terrain 125,125.0,11.5,10.5,Automatic,Automatic,2,2023,Adventure,Enduro,Other,1.0,15399.89,Off-road
Sinnis,UK,SM-XE 125,125.0,15.0,12.0,Manual,Chain,2,2023,Off-road,Naked/Street,Other,1.0,16499.89,Street
SWM,Italy,Superdual T,600.0,54.38,53.5,Manual,Chain,2,2023,Modern,Adventure,Parallel-twin,1.0,74800.0,Touring
SWM,Italy,RS 650,650.0,55.0,55.0,Manual,Chain,2,2023,Modern,Naked/Street,Parallel-twin,1.0,93500.0,Street
SWM,Italy,Viale 650,650.0,55.0,55.0,Manual,Chain,2,2023,Classic,Cruiser,Parallel-twin,1.0,85800.0,Cruise
SWM,Italy,RACER 125,125.0,11.5,10.5,Automatic,Automatic,2,2023,Modern,Naked/Street,Other,1.0,13200.0,Street
SWM,Italy,GRAN TURISMO 125,125.0,11.5,10.5,Automatic,Automatic,2,2023,Classic,Cruiser,Other,1.0,14300.0,Cruise
Super Soco,China,TC,125.0,15.421730000000002,11.52447,Automatic,Automatic,2,2023,Modern,Scooter,Electric,1.0,15400.0,Street
Super Soco,China,TC Max,125.0,6.705100000000001,11.52447,Automatic,Automatic,2,2023,Modern,Naked/Street,Electric,1.0,16500.0,Street
Super Soco,China,TS Naked/Street Hunter,125.0,4.02306,14.91402,Automatic,Automatic,2,2023,Modern,Naked/Street,Electric,1.0,19800.0,Street
Super Soco,China,CUx,125.0,4.69357,13.964946,Automatic,Automatic,2,2023,Retro,Scooter,Electric,1.0,14300.0,Street
Super Soco,China,CPx,125.0,4.69357,13.964946,Automatic,Automatic,2,2023,Modern,Scooter,Electric,1.0,15400.0,Street
Royal Alloy,UK,Himalayan,411.0,24.5,32.0,Manual,Chain,2,2023,Adventure,Enduro,Other,1.0,29700.0,Off-road
Royal Alloy,UK,Meteor 350,349.0,20.2,27.0,Manual,Chain,2,2023,Classic,Cruiser,Other,1.0,23100.0,Cruise
Royal Alloy,UK,CT 125,125.0,10.5,10.5,Automatic,Automatic,2,2023,Retro,Scooter,Other,1.0,12100.000000000002,Street
Royal Alloy,UK,Kent 125,125.0,10.5,10.5,Automatic,Automatic,2,2023,Modern,Scooter,Other,1.0,11000.0,Street
Benelli,Italy,Imperiale 400,374.0,21.0,24.5,Manual,Chain,2,2020,Classic,Cruiser,Single-cylinder,1.0,25840.54,Cruise
Benelli,Italy,Leoncino 250,249.2,24.5,21.5,Manual,Chain,2,2020,Modern,Naked/Street,Other,1.0,28589.0,Street
Benelli,Italy,TRK 251,250.9,25.0,21.0,Manual,Chain,2,2020,Adventure,Adventure,Other,1.0,32890.0,Touring
Benelli,Italy,TRK 502,500.0,47.6,46.0,Manual,Chain,2,2017,Adventure,Adventure,Parallel-twin,2.0,51590.0,Touring
Benelli,Italy,TNT 600i,600.0,85.0,54.0,Manual,Chain,2,2018,Sport,Sport,Parallel-twin,2.0,68090.0,Race
Benelli,Italy,Leoncino 500,500.0,47.5,46.0,Manual,Chain,2,2019,Modern,Naked/Street,Parallel-twin,2.0,61600.0,Street
Benelli,Italy,502 C,500.0,47.5,46.0,Manual,Chain,2,2020,Retro,Cruiser,Parallel-twin,2.0,64350.0,Cruise
Benelli,Italy,TNT 600RR,600.0,118.0,66.0,Manual,Chain,2,2022,Sport,Sport,Parallel-twin,2.0,82500.0,Race
AJS,UK,Cadwell 125,125.0,11.0,10.5,Manual,Chain,2,2023,Classic,Naked/Street,Single-cylinder,1.0,164890.0,Street
AJS,UK,Tempest Scrambler 125,125.0,11.0,10.5,Manual,Chain,2,2023,Modern,Scrambler,Single-cylinder,1.0,170390.0,Street
AJS,UK,Tempest Naked/Street 125,125.0,11.0,10.5,Manual,Chain,2,2023,Modern,Naked/Street,Single-cylinder,1.0,164890.0,Street
Mutt Motorcycles,UK,Akita 125,125.0,11.83,10.0,Manual,Chain,1,2022,Retro,Cafe Racer,Single-cylinder,1.0,39490.0,Street
Zontes,China,350R,348.0,38.2,32.8,Manual,Chain,2,2022,Sport,Naked/Street,Other,1.0,35750.0,Street
Zontes,China,350T,348.0,38.2,32.8,Manual,Chain,2,2022,Modern,Adventure,Other,1.0,38170.0,Touring
Zontes,China,350X,348.0,38.2,32.8,Manual,Chain,2,2022,Off-road,Scrambler,Other,1.0,39270.0,Street
Zontes,China,GK350,348.0,38.2,32.8,Manual,Chain,2,2022,Classic,Cafe Racer,Other,1.0,40370.0,Street
Mutt Motorcycles,UK,Akita,125.0,11.83,10.0,Manual,Chain,1,2022,Retro,Cafe Racer,Single-cylinder,1.0,39490.0,Street
Mutt Motorcycles,UK,FSR,250.0,18.5,17.0,Manual,Chain,1,2022,Retro,Scrambler,Single-cylinder,1.0,54890.0,Street
Mutt Motorcycles,UK,GT-SR,250.0,18.5,17.0,Manual,Chain,1,2022,Retro,Cafe Racer,Single-cylinder,1.0,60390.0,Street
Mutt Motorcycles,UK,GT-SS,250.0,20.0,18.0,Manual,Chain,1,2022,Retro,Cruiser,Single-cylinder,1.0,65890.0,Cruise
Mutt Motorcycles,UK,Hilts,250.0,18.5,17.0,Manual,Chain,1,2022,Retro,Standard,Single-cylinder,1.0,58190.0,Street
Mutt Motorcycles,UK,Mastiff,250.0,20.0,18.0,Manual,Chain,1,2022,Retro,Cruiser,Single-cylinder,1.0,71390.0,Cruise
Mutt Motorcycles,UK,Mongrel,250.0,20.0,18.0,Manual,Chain,1,2022,Retro,Scrambler,Single-cylinder,1.0,65890.0,Street
Mutt Motorcycles,UK,Razorback,250.0,20.0,18.0,Manual,Chain,1,2022,Retro,Cruiser,Single-cylinder,1.0,76890.0,Cruise
Mutt Motorcycles,UK,RS-13,250.0,20.0,18.0,Manual,Chain,1,2022,Retro,Cafe Racer,Single-cylinder,1.0,74690.0,Street
Mutt Motorcycles,UK,Sabbath,250.0,20.0,18.0,Manual,Chain,1,2022,Retro,Cruiser,Single-cylinder,1.0,82390.0,Cruise
Energica Motor Company,Italy,Ego,110.0,163.0,264.3849,Automatic,Electric,1,2014,Modern,Naked/Street,Electric,1.0,232650.0,Street
Energica Motor Company,Italy,Eva Ribelle,110.0,163.0,264.3849,Automatic,Electric,2,2019,Modern,Naked/Street,Electric,1.0,247500.0,Street
Energica Motor Company,Italy,EsseEsse9,110.0,163.0,264.3849,Automatic,Electric,2,2019,Retro,Cruiser,Electric,1.0,275000.0,Cruise
Energica Motor Company,Italy,EGO+,126.0,171.0,300.99204000000003,Automatic,Electric,1,2022,Modern,Naked/Street,Electric,1.0,261250.0,Street
Energica Motor Company,Italy,Eva Ribelle RS,126.0,171.0,300.99204000000003,Automatic,Electric,2,2022,Modern,Naked/Street,Electric,1.0,277750.0,Street
Moto Morini,Italy,X-Cape,649.0,60.8,62.0,Manual,Other,2,2023,Modern,Adventure,Parallel-twin,2.0,79200.0,Touring
Moto Morini,Italy,Seiemmezzo 6 ½,649.0,55.7,58.0,Manual,Other,2,2023,Retro,Naked/Street,Parallel-twin,2.0,75790.0,Street
